ENSRNOT00000094517 ENSRNOG00000064161 TR_V_gene TR_V_gene
ENSRNOT00000098838 ENSRNOG00000022356 protein_coding protein_coding
ENSRNOT00000110271 ENSRNOG00000022356 protein_coding protein_coding
ENSRNOT00000066966 ENSRNOG00000022356 protein_coding protein_coding
ENSRNOT00000109624 ENSRNOG00000022356 protein_coding protein_coding
ENSRNOT00000090866 ENSRNOG00000022356 protein_coding protein_coding
ENSRNOT00000109128 ENSRNOG00000065951 protein_coding protein_coding
ENSRNOT00000116229 ENSRNOG00000065951 protein_coding protein_coding
ENSRNOT00000112662 ENSRNOG00000065951 protein_coding protein_coding
ENSRNOT00000021998 ENSRNOG00000016396 protein_coding protein_coding
ENSRNOT00000019647 ENSRNOG00000014654 protein_coding protein_coding
ENSRNOT00000108811 ENSRNOG00000063605 protein_coding protein_coding
ENSRNOT00000114245 ENSRNOG00000065387 protein_coding protein_coding
ENSRNOT00000106635 ENSRNOG00000067966 protein_coding protein_coding
ENSRNOT00000083276 ENSRNOG00000014240 protein_coding protein_coding
ENSRNOT00000019436 ENSRNOG00000014240 protein_coding protein_coding
ENSRNOT00000106542 ENSRNOG00000016352 protein_coding protein_coding
ENSRNOT00000021907 ENSRNOG00000016352 protein_coding protein_coding
ENSRNOT00000103275 ENSRNOG00000016352 protein_coding protein_coding
ENSRNOT00000045501 ENSRNOG00000037076 protein_coding protein_coding
ENSRNOT00000104017 ENSRNOG00000067478 protein_coding protein_coding
ENSRNOT00000116269 ENSRNOG00000004649 protein_coding protein_coding
ENSRNOT00000006308 ENSRNOG00000004649 protein_coding protein_coding
ENSRNOT00000115092 ENSRNOG00000046644 protein_coding protein_coding
ENSRNOT00000106024 ENSRNOG00000046644 protein_coding protein_coding
ENSRNOT00000107480 ENSRNOG00000046644 protein_coding protein_coding
ENSRNOT00000075573 ENSRNOG00000046644 protein_coding protein_coding
ENSRNOT00000103456 ENSRNOG00000046644 protein_coding protein_coding
ENSRNOT00000075650 ENSRNOG00000067924 protein_coding protein_coding
ENSRNOT00000119750 ENSRNOG00000068962 protein_coding protein_coding
ENSRNOT00000114100 ENSRNOG00000013177 protein_coding protein_coding
ENSRNOT00000017968 ENSRNOG00000013177 protein_coding protein_coding
ENSRNOT00000065473 ENSRNOG00000013177 protein_coding protein_coding
ENSRNOT00000095052 ENSRNOG00000007867 protein_coding protein_coding
ENSRNOT00000010614 ENSRNOG00000007867 protein_coding protein_coding
ENSRNOT00000091827 ENSRNOG00000007867 protein_coding protein_coding
ENSRNOT00000096322 ENSRNOG00000020394 protein_coding protein_coding
ENSRNOT00000027644 ENSRNOG00000020394 protein_coding protein_coding
ENSRNOT00000083550 ENSRNOG00000057578 protein_coding protein_coding
ENSRNOT00000072342 ENSRNOG00000049743 protein_coding protein_coding
ENSRNOT00000090430 ENSRNOG00000049743 protein_coding protein_coding
ENSRNOT00000008680 ENSRNOG00000006608 protein_coding protein_coding
ENSRNOT00000097068 ENSRNOG00000052968 protein_coding protein_coding
ENSRNOT00000078872 ENSRNOG00000052968 protein_coding protein_coding
ENSRNOT00000114122 ENSRNOG00000052968 protein_coding protein_coding
ENSRNOT00000100893 ENSRNOG00000052968 protein_coding protein_coding
ENSRNOT00000027047 ENSRNOG00000019968 protein_coding protein_coding
ENSRNOT00000094170 ENSRNOG00000063244 protein_coding protein_coding
ENSRNOT00000010450 ENSRNOG00000007954 protein_coding protein_coding
ENSRNOT00000007174 ENSRNOG00000005250 protein_coding protein_coding
ENSRNOT00000101271 ENSRNOG00000005250 protein_coding protein_coding
ENSRNOT00000115208 ENSRNOG00000065417 protein_coding protein_coding
ENSRNOT00000096593 ENSRNOG00000065417 protein_coding protein_coding
ENSRNOT00000044960 ENSRNOG00000065417 protein_coding protein_coding
ENSRNOT00000016975 ENSRNOG00000012720 protein_coding protein_coding
ENSRNOT00000093689 ENSRNOG00000016134 protein_coding protein_coding
ENSRNOT00000021923 ENSRNOG00000016134 protein_coding protein_coding
ENSRNOT00000120012 ENSRNOG00000065239 protein_coding protein_coding
ENSRNOT00000100134 ENSRNOG00000065239 protein_coding protein_coding
ENSRNOT00000107797 ENSRNOG00000065239 protein_coding protein_coding
ENSRNOT00000102557 ENSRNOG00000007830 protein_coding protein_coding
ENSRNOT00000010289 ENSRNOG00000007830 protein_coding protein_coding
ENSRNOT00000028703 ENSRNOG00000021144 protein_coding protein_coding
ENSRNOT00000010465 ENSRNOG00000007962 protein_coding protein_coding
ENSRNOT00000018343 ENSRNOG00000013409 protein_coding protein_coding
ENSRNOT00000090313 ENSRNOG00000031730 protein_coding protein_coding
ENSRNOT00000050236 ENSRNOG00000031730 protein_coding protein_coding
ENSRNOT00000064022 ENSRNOG00000032706 protein_coding protein_coding
ENSRNOT00000042977 ENSRNOG00000032706 protein_coding protein_coding
ENSRNOT00000089230 ENSRNOG00000014573 protein_coding protein_coding
ENSRNOT00000051354 ENSRNOG00000014573 protein_coding protein_coding
ENSRNOT00000010473 ENSRNOG00000007965 protein_coding protein_coding
ENSRNOT00000105091 ENSRNOG00000065830 protein_coding protein_coding
ENSRNOT00000028923 ENSRNOG00000027370 protein_coding protein_coding
ENSRNOT00000090827 ENSRNOG00000018507 protein_coding protein_coding
ENSRNOT00000100079 ENSRNOG00000018507 protein_coding protein_coding
ENSRNOT00000025070 ENSRNOG00000018507 protein_coding protein_coding
ENSRNOT00000025081 ENSRNOG00000019219 protein_coding protein_coding
ENSRNOT00000096098 ENSRNOG00000019219 protein_coding protein_coding
ENSRNOT00000097145 ENSRNOG00000019219 protein_coding protein_coding
ENSRNOT00000015421 ENSRNOG00000011588 protein_coding protein_coding
ENSRNOT00000110925 ENSRNOG00000011588 protein_coding protein_coding
ENSRNOT00000119984 ENSRNOG00000011588 protein_coding protein_coding
ENSRNOT00000089729 ENSRNOG00000018337 protein_coding protein_coding
ENSRNOT00000103126 ENSRNOG00000028017 protein_coding protein_coding
ENSRNOT00000118882 ENSRNOG00000028017 protein_coding protein_coding
ENSRNOT00000038807 ENSRNOG00000028017 protein_coding protein_coding
ENSRNOT00000023469 ENSRNOG00000017427 protein_coding protein_coding
ENSRNOT00000063986 ENSRNOG00000017427 protein_coding protein_coding
ENSRNOT00000110671 ENSRNOG00000063108 protein_coding protein_coding
ENSRNOT00000008469 ENSRNOG00000006478 protein_coding protein_coding
ENSRNOT00000043527 ENSRNOG00000050493 protein_coding protein_coding
ENSRNOT00000040278 ENSRNOG00000050899 protein_coding protein_coding
ENSRNOT00000064238 ENSRNOG00000021656 protein_coding protein_coding
ENSRNOT00000089424 ENSRNOG00000059965 protein_coding protein_coding
ENSRNOT00000072450 ENSRNOG00000047450 protein_coding protein_coding
ENSRNOT00000111947 ENSRNOG00000047450 protein_coding protein_coding
ENSRNOT00000119450 ENSRNOG00000068403 protein_coding protein_coding
ENSRNOT00000020833 ENSRNOG00000015559 protein_coding protein_coding
ENSRNOT00000028527 ENSRNOG00000021018 protein_coding protein_coding
ENSRNOT00000093848 ENSRNOG00000030547 protein_coding protein_coding
ENSRNOT00000117212 ENSRNOG00000030547 protein_coding protein_coding
ENSRNOT00000108476 ENSRNOG00000030547 protein_coding protein_coding
ENSRNOT00000045773 ENSRNOG00000030547 protein_coding protein_coding
ENSRNOT00000009482 ENSRNOG00000007240 protein_coding protein_coding
ENSRNOT00000094350 ENSRNOG00000020514 protein_coding protein_coding
ENSRNOT00000048020 ENSRNOG00000020514 protein_coding protein_coding
ENSRNOT00000079072 ENSRNOG00000020514 protein_coding protein_coding
ENSRNOT00000097682 ENSRNOG00000062527 protein_coding protein_coding
ENSRNOT00000117711 ENSRNOG00000062527 protein_coding protein_coding
ENSRNOT00000024601 ENSRNOG00000018237 protein_coding protein_coding
ENSRNOT00000013730 ENSRNOG00000010104 protein_coding protein_coding
ENSRNOT00000079279 ENSRNOG00000030667 protein_coding protein_coding
ENSRNOT00000083470 ENSRNOG00000030667 protein_coding protein_coding
ENSRNOT00000012385 ENSRNOG00000009269 protein_coding protein_coding
ENSRNOT00000107484 ENSRNOG00000065908 protein_coding protein_coding
ENSRNOT00000107444 ENSRNOG00000065908 protein_coding protein_coding
ENSRNOT00000113101 ENSRNOG00000027724 protein_coding protein_coding
ENSRNOT00000020383 ENSRNOG00000027724 protein_coding protein_coding
ENSRNOT00000108120 ENSRNOG00000027724 protein_coding protein_coding
ENSRNOT00000092491 ENSRNOG00000062020 protein_coding protein_coding
ENSRNOT00000015440 ENSRNOG00000011622 protein_coding protein_coding
ENSRNOT00000107658 ENSRNOG00000011622 protein_coding protein_coding
ENSRNOT00000105328 ENSRNOG00000068059 protein_coding protein_coding
ENSRNOT00000107933 ENSRNOG00000065937 protein_coding protein_coding
ENSRNOT00000010032 ENSRNOG00000007640 protein_coding protein_coding
ENSRNOT00000020130 ENSRNOG00000014845 protein_coding protein_coding
ENSRNOT00000111744 ENSRNOG00000031995 protein_coding protein_coding
ENSRNOT00000109009 ENSRNOG00000031995 protein_coding protein_coding
ENSRNOT00000083786 ENSRNOG00000031995 protein_coding protein_coding
ENSRNOT00000103806 ENSRNOG00000031995 protein_coding protein_coding
ENSRNOT00000047282 ENSRNOG00000031995 protein_coding protein_coding
ENSRNOT00000017691 ENSRNOG00000013222 protein_coding protein_coding
ENSRNOT00000086541 ENSRNOG00000009355 protein_coding protein_coding
ENSRNOT00000094884 ENSRNOG00000009355 protein_coding protein_coding
ENSRNOT00000012611 ENSRNOG00000009355 protein_coding protein_coding
ENSRNOT00000028671 ENSRNOG00000021116 protein_coding protein_coding
ENSRNOT00000101681 ENSRNOG00000021116 protein_coding protein_coding
ENSRNOT00000074294 ENSRNOG00000051000 protein_coding protein_coding
ENSRNOT00000018645 ENSRNOG00000013944 protein_coding protein_coding
ENSRNOT00000061899 ENSRNOG00000040219 protein_coding protein_coding
ENSRNOT00000073713 ENSRNOG00000069250 protein_coding protein_coding
ENSRNOT00000095539 ENSRNOG00000067990 protein_coding protein_coding
ENSRNOT00000116251 ENSRNOG00000067990 protein_coding protein_coding
ENSRNOT00000025832 ENSRNOG00000019112 protein_coding protein_coding
ENSRNOT00000028674 ENSRNOG00000021119 protein_coding protein_coding
ENSRNOT00000042872 ENSRNOG00000069744 protein_coding protein_coding
ENSRNOT00000005553 ENSRNOG00000004188 protein_coding protein_coding
ENSRNOT00000057516 ENSRNOG00000037863 protein_coding protein_coding
ENSRNOT00000100244 ENSRNOG00000069967 protein_coding protein_coding
ENSRNOT00000103016 ENSRNOG00000019311 protein_coding protein_coding
ENSRNOT00000026235 ENSRNOG00000019311 protein_coding protein_coding
ENSRNOT00000013409 ENSRNOG00000030538 protein_coding protein_coding
ENSRNOT00000013514 ENSRNOG00000030538 protein_coding protein_coding
ENSRNOT00000095908 ENSRNOG00000064731 protein_coding protein_coding
ENSRNOT00000051973 ENSRNOG00000031803 protein_coding protein_coding
ENSRNOT00000010493 ENSRNOG00000031803 protein_coding protein_coding
ENSRNOT00000044947 ENSRNOG00000031803 protein_coding protein_coding
ENSRNOT00000099440 ENSRNOG00000070601 protein_coding protein_coding
ENSRNOT00000044381 ENSRNOG00000029776 protein_coding protein_coding
ENSRNOT00000015460 ENSRNOG00000011553 protein_coding protein_coding
ENSRNOT00000098294 ENSRNOG00000011553 protein_coding protein_coding
ENSRNOT00000024310 ENSRNOG00000017777 protein_coding protein_coding
ENSRNOT00000114905 ENSRNOG00000017777 protein_coding protein_coding
ENSRNOT00000011602 ENSRNOG00000008567 protein_coding protein_coding
ENSRNOT00000096213 ENSRNOG00000055547 protein_coding protein_coding
ENSRNOT00000105567 ENSRNOG00000055547 protein_coding protein_coding
ENSRNOT00000077423 ENSRNOG00000055547 protein_coding protein_coding
ENSRNOT00000105555 ENSRNOG00000055547 protein_coding protein_coding
ENSRNOT00000090521 ENSRNOG00000055547 protein_coding protein_coding
ENSRNOT00000107769 ENSRNOG00000055547 protein_coding protein_coding
ENSRNOT00000083884 ENSRNOG00000055547 protein_coding protein_coding
ENSRNOT00000118849 ENSRNOG00000055547 protein_coding protein_coding
ENSRNOT00000086127 ENSRNOG00000055547 protein_coding protein_coding
ENSRNOT00000089439 ENSRNOG00000055547 protein_coding protein_coding
ENSRNOT00000072707 ENSRNOG00000049398 protein_coding protein_coding
ENSRNOT00000096806 ENSRNOG00000001547 protein_coding protein_coding
ENSRNOT00000002111 ENSRNOG00000001547 protein_coding protein_coding
ENSRNOT00000093964 ENSRNOG00000001547 protein_coding protein_coding
ENSRNOT00000118540 ENSRNOG00000005868 protein_coding protein_coding
ENSRNOT00000007832 ENSRNOG00000005868 protein_coding protein_coding
ENSRNOT00000119486 ENSRNOG00000062685 protein_coding protein_coding
ENSRNOT00000102623 ENSRNOG00000069142 protein_coding protein_coding
ENSRNOT00000109295 ENSRNOG00000067752 protein_coding protein_coding
ENSRNOT00000106860 ENSRNOG00000063740 protein_coding protein_coding
ENSRNOT00000114843 ENSRNOG00000063740 protein_coding protein_coding
ENSRNOT00000110860 ENSRNOG00000069124 protein_coding protein_coding
ENSRNOT00000030019 ENSRNOG00000023064 protein_coding protein_coding
ENSRNOT00000100723 ENSRNOG00000023064 protein_coding protein_coding
ENSRNOT00000083283 ENSRNOG00000021086 protein_coding protein_coding
ENSRNOT00000028626 ENSRNOG00000021086 protein_coding protein_coding
ENSRNOT00000101313 ENSRNOG00000021086 protein_coding protein_coding
ENSRNOT00000103725 ENSRNOG00000021086 protein_coding protein_coding
ENSRNOT00000090431 ENSRNOG00000048726 protein_coding protein_coding
ENSRNOT00000110528 ENSRNOG00000013938 protein_coding protein_coding
ENSRNOT00000018931 ENSRNOG00000013938 protein_coding protein_coding
ENSRNOT00000106371 ENSRNOG00000013938 protein_coding protein_coding
ENSRNOT00000061588 ENSRNOG00000040045 protein_coding protein_coding
ENSRNOT00000049520 ENSRNOG00000033979 protein_coding protein_coding
ENSRNOT00000104376 ENSRNOG00000005634 protein_coding protein_coding
ENSRNOT00000119962 ENSRNOG00000005634 protein_coding protein_coding
ENSRNOT00000114077 ENSRNOG00000005634 protein_coding protein_coding
ENSRNOT00000110514 ENSRNOG00000005634 protein_coding protein_coding
ENSRNOT00000007449 ENSRNOG00000005634 protein_coding protein_coding
ENSRNOT00000113926 ENSRNOG00000016253 protein_coding protein_coding
ENSRNOT00000089941 ENSRNOG00000016253 protein_coding protein_coding
ENSRNOT00000022346 ENSRNOG00000016253 protein_coding protein_coding
ENSRNOT00000096395 ENSRNOG00000016253 protein_coding protein_coding
ENSRNOT00000095821 ENSRNOG00000066366 protein_coding protein_coding
ENSRNOT00000042735 ENSRNOG00000004577 protein_coding protein_coding
ENSRNOT00000118155 ENSRNOG00000004577 protein_coding protein_coding
ENSRNOT00000082071 ENSRNOG00000004577 protein_coding protein_coding
ENSRNOT00000101140 ENSRNOG00000004577 protein_coding protein_coding
ENSRNOT00000096105 ENSRNOG00000061597 protein_coding protein_coding
ENSRNOT00000088080 ENSRNOG00000061597 protein_coding protein_coding
ENSRNOT00000087058 ENSRNOG00000052193 protein_coding protein_coding
ENSRNOT00000096407 ENSRNOG00000068131 protein_coding protein_coding
ENSRNOT00000118896 ENSRNOG00000019339 protein_coding protein_coding
ENSRNOT00000032204 ENSRNOG00000019339 protein_coding protein_coding
ENSRNOT00000015744 ENSRNOG00000011509 protein_coding protein_coding
ENSRNOT00000094589 ENSRNOG00000011509 protein_coding protein_coding
ENSRNOT00000113061 ENSRNOG00000069549 protein_coding protein_coding
ENSRNOT00000050986 ENSRNOG00000031342 protein_coding protein_coding
ENSRNOT00000100526 ENSRNOG00000015589 protein_coding protein_coding
ENSRNOT00000020909 ENSRNOG00000015589 protein_coding protein_coding
ENSRNOT00000115574 ENSRNOG00000015589 protein_coding protein_coding
ENSRNOT00000018734 ENSRNOG00000013816 protein_coding protein_coding
ENSRNOT00000096916 ENSRNOG00000056151 protein_coding protein_coding
ENSRNOT00000080165 ENSRNOG00000056151 protein_coding protein_coding
ENSRNOT00000116049 ENSRNOG00000056151 protein_coding protein_coding
ENSRNOT00000033132 ENSRNOG00000028052 protein_coding protein_coding
ENSRNOT00000117667 ENSRNOG00000068529 protein_coding protein_coding
ENSRNOT00000109993 ENSRNOG00000063044 protein_coding protein_coding
ENSRNOT00000008200 ENSRNOG00000005877 protein_coding protein_coding
ENSRNOT00000006482 ENSRNOG00000028518 protein_coding protein_coding
ENSRNOT00000107679 ENSRNOG00000071120 protein_coding protein_coding
ENSRNOT00000016883 ENSRNOG00000012458 protein_coding protein_coding
ENSRNOT00000078080 ENSRNOG00000012458 protein_coding protein_coding
ENSRNOT00000101512 ENSRNOG00000012458 protein_coding protein_coding
ENSRNOT00000098359 ENSRNOG00000012458 protein_coding protein_coding
ENSRNOT00000006555 ENSRNOG00000004858 protein_coding protein_coding
ENSRNOT00000095094 ENSRNOG00000030019 protein_coding protein_coding
ENSRNOT00000040430 ENSRNOG00000030019 protein_coding protein_coding
ENSRNOT00000038023 ENSRNOG00000027466 protein_coding protein_coding
ENSRNOT00000101644 ENSRNOG00000027466 protein_coding protein_coding
ENSRNOT00000003371 ENSRNOG00000002495 protein_coding protein_coding
ENSRNOT00000112689 ENSRNOG00000063189 protein_coding protein_coding
ENSRNOT00000119784 ENSRNOG00000069171 protein_coding protein_coding
ENSRNOT00000012164 ENSRNOG00000009178 protein_coding protein_coding
ENSRNOT00000112355 ENSRNOG00000064485 protein_coding protein_coding
ENSRNOT00000107935 ENSRNOG00000064485 protein_coding protein_coding
ENSRNOT00000110366 ENSRNOG00000064485 protein_coding protein_coding
ENSRNOT00000105882 ENSRNOG00000065320 protein_coding protein_coding
ENSRNOT00000100574 ENSRNOG00000052498 protein_coding protein_coding
ENSRNOT00000089243 ENSRNOG00000052498 protein_coding protein_coding
ENSRNOT00000097641 ENSRNOG00000052498 protein_coding protein_coding
ENSRNOT00000112003 ENSRNOG00000064033 protein_coding protein_coding
ENSRNOT00000115381 ENSRNOG00000064033 protein_coding protein_coding
ENSRNOT00000113825 ENSRNOG00000015018 protein_coding protein_coding
ENSRNOT00000020478 ENSRNOG00000015018 protein_coding protein_coding
ENSRNOT00000073178 ENSRNOG00000046772 protein_coding protein_coding
ENSRNOT00000108832 ENSRNOG00000064685 protein_coding protein_coding
ENSRNOT00000120257 ENSRNOG00000063836 protein_coding protein_coding
ENSRNOT00000117426 ENSRNOG00000019435 protein_coding protein_coding
ENSRNOT00000026378 ENSRNOG00000019435 protein_coding protein_coding
ENSRNOT00000111594 ENSRNOG00000019435 protein_coding protein_coding
ENSRNOT00000052280 ENSRNOG00000031564 protein_coding protein_coding
ENSRNOT00000018853 ENSRNOG00000014034 protein_coding protein_coding
ENSRNOT00000104515 ENSRNOG00000064945 protein_coding protein_coding
ENSRNOT00000095275 ENSRNOG00000064945 protein_coding protein_coding
ENSRNOT00000059467 ENSRNOG00000064945 protein_coding protein_coding
ENSRNOT00000011697 ENSRNOG00000008766 protein_coding protein_coding
ENSRNOT00000108335 ENSRNOG00000008766 protein_coding protein_coding
ENSRNOT00000029386 ENSRNOG00000036719 protein_coding protein_coding
ENSRNOT00000089172 ENSRNOG00000023035 protein_coding protein_coding
ENSRNOT00000006725 ENSRNOG00000005067 protein_coding protein_coding
ENSRNOT00000033327 ENSRNOG00000024310 protein_coding protein_coding
ENSRNOT00000099683 ENSRNOG00000068912 protein_coding protein_coding
ENSRNOT00000113997 ENSRNOG00000064371 protein_coding protein_coding
ENSRNOT00000010149 ENSRNOG00000007567 protein_coding protein_coding
ENSRNOT00000100365 ENSRNOG00000069899 protein_coding protein_coding
ENSRNOT00000031044 ENSRNOG00000024266 protein_coding protein_coding
ENSRNOT00000097453 ENSRNOG00000066826 protein_coding protein_coding
ENSRNOT00000023504 ENSRNOG00000017414 protein_coding protein_coding
ENSRNOT00000115207 ENSRNOG00000063409 protein_coding protein_coding
ENSRNOT00000101927 ENSRNOG00000063409 protein_coding protein_coding
ENSRNOT00000072471 ENSRNOG00000050408 protein_coding protein_coding
ENSRNOT00000037271 ENSRNOG00000027015 protein_coding protein_coding
ENSRNOT00000111765 ENSRNOG00000027015 protein_coding protein_coding
ENSRNOT00000098734 ENSRNOG00000027015 protein_coding protein_coding
ENSRNOT00000005983 ENSRNOG00000004208 protein_coding protein_coding
ENSRNOT00000094931 ENSRNOG00000004208 protein_coding protein_coding
ENSRNOT00000075394 ENSRNOG00000049469 protein_coding protein_coding
ENSRNOT00000041376 ENSRNOG00000032523 protein_coding protein_coding
ENSRNOT00000042939 ENSRNOG00000069296 protein_coding protein_coding
ENSRNOT00000017611 ENSRNOG00000013132 protein_coding protein_coding
ENSRNOT00000114395 ENSRNOG00000070827 protein_coding protein_coding
ENSRNOT00000048550 ENSRNOG00000030629 protein_coding protein_coding
ENSRNOT00000042699 ENSRNOG00000029401 protein_coding protein_coding
ENSRNOT00000107502 ENSRNOG00000067156 protein_coding protein_coding
ENSRNOT00000116040 ENSRNOG00000007977 protein_coding protein_coding
ENSRNOT00000117935 ENSRNOG00000007977 protein_coding protein_coding
ENSRNOT00000104917 ENSRNOG00000068028 protein_coding protein_coding
ENSRNOT00000110694 ENSRNOG00000062523 protein_coding protein_coding
ENSRNOT00000000025 ENSRNOG00000000024 protein_coding protein_coding
ENSRNOT00000044847 ENSRNOG00000010760 protein_coding protein_coding
ENSRNOT00000105426 ENSRNOG00000066874 protein_coding protein_coding
ENSRNOT00000104211 ENSRNOG00000001593 protein_coding protein_coding
ENSRNOT00000068018 ENSRNOG00000001593 protein_coding protein_coding
ENSRNOT00000083045 ENSRNOG00000001593 protein_coding protein_coding
ENSRNOT00000114594 ENSRNOG00000001593 protein_coding protein_coding
ENSRNOT00000100690 ENSRNOG00000001593 protein_coding protein_coding
ENSRNOT00000119745 ENSRNOG00000001593 protein_coding protein_coding
ENSRNOT00000036823 ENSRNOG00000022868 protein_coding protein_coding
ENSRNOT00000105807 ENSRNOG00000022868 protein_coding protein_coding
ENSRNOT00000048779 ENSRNOG00000028989 protein_coding protein_coding
ENSRNOT00000068592 ENSRNOG00000010086 protein_coding protein_coding
ENSRNOT00000097371 ENSRNOG00000010086 protein_coding protein_coding
ENSRNOT00000120148 ENSRNOG00000063545 protein_coding protein_coding
ENSRNOT00000119800 ENSRNOG00000066934 protein_coding protein_coding
ENSRNOT00000115438 ENSRNOG00000066934 protein_coding protein_coding
ENSRNOT00000047790 ENSRNOG00000007866 protein_coding protein_coding
ENSRNOT00000025574 ENSRNOG00000018860 protein_coding protein_coding
ENSRNOT00000109773 ENSRNOG00000018860 protein_coding protein_coding
ENSRNOT00000075437 ENSRNOG00000046279 protein_coding protein_coding
ENSRNOT00000113651 ENSRNOG00000006170 protein_coding protein_coding
ENSRNOT00000098834 ENSRNOG00000006170 protein_coding protein_coding
ENSRNOT00000065882 ENSRNOG00000006170 protein_coding protein_coding
ENSRNOT00000056742 ENSRNOG00000037485 protein_coding protein_coding
ENSRNOT00000040963 ENSRNOG00000016960 protein_coding protein_coding
ENSRNOT00000116524 ENSRNOG00000016960 protein_coding protein_coding
ENSRNOT00000100715 ENSRNOG00000016960 protein_coding protein_coding
ENSRNOT00000116658 ENSRNOG00000016960 protein_coding protein_coding
ENSRNOT00000031083 ENSRNOG00000042309 protein_coding protein_coding
ENSRNOT00000050195 ENSRNOG00000031494 protein_coding protein_coding
ENSRNOT00000089166 ENSRNOG00000031494 protein_coding protein_coding
ENSRNOT00000073017 ENSRNOG00000048698 protein_coding protein_coding
ENSRNOT00000026471 ENSRNOG00000019509 protein_coding protein_coding
ENSRNOT00000071737 ENSRNOG00000050578 protein_coding protein_coding
ENSRNOT00000114997 ENSRNOG00000050578 protein_coding protein_coding
ENSRNOT00000113919 ENSRNOG00000050578 protein_coding protein_coding
ENSRNOT00000108274 ENSRNOG00000050578 protein_coding protein_coding
ENSRNOT00000010419 ENSRNOG00000007744 protein_coding protein_coding
ENSRNOT00000084773 ENSRNOG00000007744 protein_coding protein_coding
ENSRNOT00000080707 ENSRNOG00000068283 protein_coding protein_coding
ENSRNOT00000109365 ENSRNOG00000062761 protein_coding protein_coding
ENSRNOT00000013887 ENSRNOG00000010449 protein_coding protein_coding
ENSRNOT00000015864 ENSRNOG00000011639 protein_coding protein_coding
ENSRNOT00000105200 ENSRNOG00000011639 protein_coding protein_coding
ENSRNOT00000099130 ENSRNOG00000029871 protein_coding protein_coding
ENSRNOT00000102013 ENSRNOG00000029871 protein_coding protein_coding
ENSRNOT00000048606 ENSRNOG00000029871 protein_coding protein_coding
ENSRNOT00000082769 ENSRNOG00000061129 protein_coding protein_coding
ENSRNOT00000118197 ENSRNOG00000061129 protein_coding protein_coding
ENSRNOT00000096319 ENSRNOG00000061129 protein_coding protein_coding
ENSRNOT00000040968 ENSRNOG00000070664 protein_coding protein_coding
ENSRNOT00000093933 ENSRNOG00000067572 protein_coding protein_coding
ENSRNOT00000096875 ENSRNOG00000067572 protein_coding protein_coding
ENSRNOT00000107614 ENSRNOG00000067572 protein_coding protein_coding
ENSRNOT00000022000 ENSRNOG00000016166 protein_coding protein_coding
ENSRNOT00000095457 ENSRNOG00000012954 protein_coding protein_coding
ENSRNOT00000063950 ENSRNOG00000012954 protein_coding protein_coding
ENSRNOT00000017323 ENSRNOG00000012954 protein_coding protein_coding
ENSRNOT00000043078 ENSRNOG00000030522 protein_coding protein_coding
ENSRNOT00000113737 ENSRNOG00000064233 protein_coding protein_coding
ENSRNOT00000100357 ENSRNOG00000064233 protein_coding protein_coding
ENSRNOT00000099475 ENSRNOG00000063025 protein_coding protein_coding
ENSRNOT00000060282 ENSRNOG00000039336 protein_coding protein_coding
ENSRNOT00000107617 ENSRNOG00000012324 protein_coding protein_coding
ENSRNOT00000016712 ENSRNOG00000012324 protein_coding protein_coding
ENSRNOT00000045963 ENSRNOG00000030034 protein_coding protein_coding
ENSRNOT00000046951 ENSRNOG00000015654 protein_coding protein_coding
ENSRNOT00000096351 ENSRNOG00000015654 protein_coding protein_coding
ENSRNOT00000088876 ENSRNOG00000015654 protein_coding protein_coding
ENSRNOT00000021081 ENSRNOG00000015654 protein_coding protein_coding
ENSRNOT00000109057 ENSRNOG00000023258 protein_coding protein_coding
ENSRNOT00000036838 ENSRNOG00000023258 protein_coding protein_coding
ENSRNOT00000078047 ENSRNOG00000061690 protein_coding protein_coding
ENSRNOT00000079019 ENSRNOG00000061690 protein_coding protein_coding
ENSRNOT00000119280 ENSRNOG00000017405 protein_coding protein_coding
ENSRNOT00000023429 ENSRNOG00000017405 protein_coding protein_coding
ENSRNOT00000080485 ENSRNOG00000017405 protein_coding protein_coding
ENSRNOT00000097448 ENSRNOG00000019574 protein_coding protein_coding
ENSRNOT00000026609 ENSRNOG00000019574 protein_coding protein_coding
ENSRNOT00000103883 ENSRNOG00000070326 protein_coding protein_coding
ENSRNOT00000075493 ENSRNOG00000049075 protein_coding protein_coding
ENSRNOT00000118732 ENSRNOG00000031031 protein_coding protein_coding
ENSRNOT00000035808 ENSRNOG00000031031 protein_coding protein_coding
ENSRNOT00000060006 ENSRNOG00000039207 protein_coding protein_coding
ENSRNOT00000094073 ENSRNOG00000069264 protein_coding protein_coding
ENSRNOT00000105789 ENSRNOG00000069264 protein_coding protein_coding
ENSRNOT00000083129 ENSRNOG00000070923 protein_coding protein_coding
ENSRNOT00000062026 ENSRNOG00000040301 protein_coding protein_coding
ENSRNOT00000008954 ENSRNOG00000047115 protein_coding protein_coding
ENSRNOT00000023562 ENSRNOG00000017396 protein_coding protein_coding
ENSRNOT00000101763 ENSRNOG00000017396 protein_coding protein_coding
ENSRNOT00000110680 ENSRNOG00000013232 protein_coding protein_coding
ENSRNOT00000018751 ENSRNOG00000013232 protein_coding protein_coding
ENSRNOT00000088908 ENSRNOG00000062621 protein_coding protein_coding
